unique_id1,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,result
Q16538,0.121,0.088,0.791,0.211,0.561,0.478,0.066,0.087,0.088,0.121,0.791,0.524,0.206,0.359,0.138,0.041,0.427,0.255,0.318,0.498,0.226,0.264,0.306,0.536,0.464,-0.02,-0.657,-0.202,-0.312,0.184,0
P25398,0.182,0.159,0.659,0.144,0.485,0.447,0.015,0.038,0.159,0.182,0.659,0.477,0.227,0.303,0.038,0.076,0.523,0.265,0.212,0.5,0.356,0.121,0.258,0.492,0.508,0.375,-0.692,-0.351,-0.41,0.056,1
Q5T1Q4,0.086,0.069,0.846,0.235,0.583,0.493,0.047,0.115,0.069,0.086,0.846,0.571,0.159,0.326,0.13,0.037,0.402,0.346,0.252,0.529,0.216,0.262,0.225,0.468,0.532,-0.638,-0.702,-0.364,-0.44,0.109,0
P35658,0.08,0.067,0.853,0.317,0.509,0.439,0.094,0.067,0.067,0.08,0.853,0.515,0.2,0.454,0.254,0.019,0.356,0.243,0.4,0.408,0.281,0.384,0.367,0.661,0.339,0.284,-0.875,0.045,-0.55,0.359,1
Q92985,0.117,0.111,0.771,0.207,0.557,0.491,0.117,0.078,0.111,0.117,0.771,0.539,0.243,0.362,0.113,0.038,0.459,0.215,0.326,0.457,0.31,0.282,0.298,0.563,0.437,0.121,-0.585,-0.041,-0.302,0.317,1
P05014,0.132,0.127,0.741,0.265,0.45,0.349,0.021,0.095,0.127,0.132,0.741,0.487,0.18,0.37,0.143,0.058,0.519,0.259,0.222,0.423,0.291,0.249,0.222,0.402,0.598,0.005,-0.311,-0.325,-0.46,0.118,1
P62277,0.245,0.079,0.675,0.179,0.477,0.437,0.053,0.066,0.079,0.245,0.675,0.464,0.318,0.272,0.113,0.013,0.523,0.232,0.245,0.411,0.298,0.252,0.205,0.43,0.57,0.125,-0.32,-0.687,-0.075,0.277,1
Q1L6U9,0.115,0.072,0.813,0.266,0.54,0.453,0.094,0.094,0.072,0.115,0.813,0.532,0.216,0.353,0.101,0.101,0.388,0.288,0.324,0.504,0.273,0.288,0.338,0.561,0.439,0.022,-0.687,0.202,-0.134,0.058,0
Q50KZ9,0.125,0.033,0.842,0.224,0.581,0.406,0.023,0.142,0.033,0.125,0.842,0.624,0.185,0.234,0.142,0.089,0.426,0.376,0.198,0.528,0.185,0.281,0.221,0.393,0.607,-0.89,-0.438,-0.281,-0.123,0.013,0
Q5T4T1,0.091,0.03,0.879,0.189,0.667,0.53,0.008,0.098,0.03,0.091,0.879,0.629,0.121,0.295,0.136,0.053,0.447,0.341,0.212,0.606,0.114,0.242,0.288,0.492,0.508,-0.741,-0.916,-0.451,-0.206,0.114,0
Q6A1A2,0.154,0.121,0.725,0.207,0.497,0.419,0.078,0.104,0.121,0.154,0.725,0.497,0.253,0.338,0.109,0.035,0.452,0.275,0.273,0.424,0.328,0.263,0.222,0.467,0.533,0.052,-0.365,-0.27,-0.316,0.175,0
Q14457,0.127,0.167,0.707,0.247,0.407,0.316,0.029,0.087,0.167,0.127,0.707,0.44,0.209,0.422,0.131,0.049,0.496,0.251,0.253,0.369,0.384,0.227,0.184,0.433,0.567,0.381,-0.272,-0.315,-0.609,0.028,1
Q4G0A6,0.137,0.123,0.74,0.251,0.45,0.39,0.061,0.067,0.123,0.137,0.74,0.478,0.236,0.391,0.166,0.033,0.427,0.252,0.321,0.399,0.321,0.277,0.231,0.518,0.482,0.248,-0.438,-0.258,-0.488,0.19,0
Q2TBC4,0.116,0.119,0.765,0.291,0.451,0.395,0.067,0.07,0.119,0.116,0.765,0.465,0.206,0.424,0.125,0.073,0.477,0.215,0.308,0.445,0.314,0.241,0.331,0.526,0.474,0.513,-0.555,0.023,-0.437,0.099,0
Q9BTX1,0.108,0.058,0.834,0.27,0.53,0.418,0.065,0.126,0.058,0.108,0.834,0.562,0.208,0.31,0.163,0.043,0.396,0.334,0.27,0.457,0.243,0.32,0.23,0.475,0.525,-0.464,-0.399,-0.214,-0.287,0.149,1
P10321,0.131,0.128,0.74,0.262,0.464,0.402,0.049,0.077,0.128,0.131,0.74,0.475,0.194,0.413,0.139,0.046,0.481,0.246,0.273,0.418,0.281,0.268,0.279,0.522,0.478,0.405,-0.515,-0.248,-0.403,0.155,1
Q5VYS4,0.119,0.119,0.762,0.231,0.485,0.389,0.056,0.112,0.119,0.119,0.762,0.488,0.221,0.356,0.145,0.033,0.416,0.277,0.307,0.429,0.31,0.254,0.231,0.488,0.512,0.004,-0.357,-0.224,-0.514,0.129,0
